name,alias,iata,icao,country,active
Afro International Ent. Limited,,,AOR,Nigeria,N
Agence Nationale des Aerodromes et de la Meteorologie,,,ZZM,Ivory Coast,N
Agroar - Trabalhos Aereos,,,GRR,Portugal,N
Agrocentr-Avia,,,GSV,Kazakhstan,N
Agrolet-Mci,,,AGZ,Slovakia,N
Aguilar Connect,,3X,GUI,Chile,N
Aguilas Mayas Internacional,,,GME,Guatemala,N
Aigle Azur,,ZI,AAF,France,Y
Air 26,,,DCD,Angola,Y
Air 500,,,BRM,Canada,N
Air Ada,,,RDM,Mauritania,N
Air Adriatic,,,AHR,Croatia,N
Air Affaires Tchad,,,FTC,Chad,N
Air Afrique,,RK,RKA,Ivory Coast,Y
Air Afrique Vacancies,,,AFV,Ivory Coast,N
Air Alfa,,,LFA,Turkey,Y
Air Algerie,,AH,DAH,Algeria,Y
Air Alize,,,RLZ,France,N
Air ALM,,,ALM,Netherlands Antilles,N
Air Alma,,,AAJ,Canada,N
Air Almaty,,,LMY,Kazakhstan,N
Air Almaty ZK,,,LMZ,Kazakhstan,N
Air Alpha,,,DBA,United States,N
Air Alpha Greenland,,GD,AHA,Denmark,N
Air Alps Aviation,,A6,LPV,Austria,N
Air Alps Aviation (A6),,A6,,Austria,Y
Air Alsie,,,MMD,Denmark,N
Air Ambar,,,AMY,Dominican Republic,N
Air Amder,,,RMD,Mauritania,N
Air Anastasia,,,RUD,Ukraine,N
Air Anatolia,,,NTL,Turkey,N
Air and Sea Transport,,,ASN,Russia,N
Air Andaman,,,ADW,Thailand,N
Air Andaman (2Y),,2Y,AOW,Thailand,N
Air Antilles Express,,3S,,Guadeloupe,Y
Air Arabia,,G9,ABY,United Arab Emirates,Y
Air Arabia Egypt,,E5,RBG,Egypt,Y
Air Arabia Maroc,,3O,,Morocco,Y
Air Archipels,,,RHL,France,N
Air Armenia,,QN,ARR,Armenia,N
Air Astana,,KC,KZR,Kazakhstan,Y
Air Atlanta Europe,,,EUK,United Kingdom,N
Air Atlanta Icelandic,,CC,ABD,Iceland,Y
Air Atlantic,,9A,,Canada,N
Air Atlantic (Nig) Limited,,,ANI,Nigeria,N
Air Atlantic Dominicana,,,ADC,Dominican Republic,N
Air Atlantic Uruguay,,,AUM,Uruguay,N
Air Atlantique,,KI,AAG,United Kingdom,N
Air Atonabee,,,OUL,Canada,N
Air Aurora,,,AAI,United States,N
Air Austral,,UU,REU,France,Y
Air Baffin,,,BFF,Canada,N
Air Bagan,,W9,JAB,Myanmar,Y
Air Baltic,,BT,BTI,Latvia,Y
Air Ban,,,LZP,Bulgaria,N
Air Bandama,,,BDM,Ivory Coast,N
Air Bangladesh,,B9,BGD,Bangladesh,Y
Air Bashkortostan,,,BBT,Russia,N
Air Batumi,,,BTM,Georgia,Y
Air BC,,,ABL,Canada,N
Air Berlin,,AB,BER,Germany,Y
Air Bosna,,JA,BON,Bosnia and Herzegovina,Y
Air Botswana,,BP,BOT,Botswana,Y
Air Bourbon,,ZB,BUB,Reunion,Y
Air Brasd'or,,,BRL,Canada,N
Air Bravo,,,BRF,Uganda,N
Air Brousse,,,ABT,Canada,N
Air Bucharest,,,BUR,Romania,Y
Air Burkina,,2J,VBW,Burkina Faso,Y
Air Burundi,,8Y,PBU,Burundi,N
Air Busan,,BX,ABL,Republic of Korea,Y
Air Cairo,,,MSC,Egypt,N
Air Cal,,TY,TPC,France,N
Air Caledonia,,,ACM,Canada,N
Air Caledonie International,,SB,ACI,France,Y
Air Canada,,AC,ACA,Canada,Y
Air Canada Jazz,,QK,JZA,Canada,Y
Air Cape,,KP,,South Africa,N
Air Caraibes Atlantique,,,CAJ,France,N
Air Caraïbes,,TX,FWI,France,Y
Air Care Alliance,,,CMF,United States,N
Air Cargo America,,,MVM,United States,N
Air Cargo Belize,,,CGB,Belize,N
Air Cargo Carriers,,2Q,SNC,United States,Y
Air Cargo Center,,,GRI,Sao Tome and Principe,N
Air Cargo Express,,,TDG,United States,N
Air Cargo Express International,,,PFT,United States,N
Air Cargo Germany,,6U,,Germany,Y
Air Cargo Masters,,,RNR,United States,N
Air Cargo Transportation System,,,ACU,Kenya,N
Air Carnival,,2S,,India,Y
Air Carriers,,,FCI,United States,N
Air Cassai,,,RCI,Angola,N
Air Castle Corporation / Global Airways,,,GLB,United States,N
Air Center Helicopters,,,RAP,United States,N
Air Central,,NV,CRF,Japan,N
Air Century,,,CEY,Dominican Republic,Y
Air Cess,,,ACS,Liberia,N
Air Charter International,,SF,,France,N
Air Charter Professionals,,,CHV,United States,N
Air Charter Service,,,ACV,United Kingdom,N
Air Charter Services,,,CHR,Democratic Republic of the Congo,N
Air Charter World,,,XAC,United States,N
Air Charters,,,ACX,Canada,N
Air Charters Eelde,,,RCC,Netherlands,N
Air Chathams,,CV,CVA,New Zealand,Y
Air China,,CA,CCA,China,Y
Air China Cargo,,,CAO,China,N
